epoch,acc,dice_coef,f1score,loss,precision,recall,val_acc,val_dice_coef,val_f1score,val_loss,val_precision,val_recall
0,0.6832561307956686,0.1764268394798694,0.20349995538919172,-0.1764268391167217,0.12237109117978574,0.8982442786885315,0.7267767786979675,0.02301325344226577,0.02428929991536326,-0.02301325344226577,0.014069869110433312,0.09477331658655946
1,0.9673500744721252,0.5759026728733878,0.6177485710135521,-0.5759026728733878,0.5473102963522718,0.7540889169799904,0.8572871228317162,0.13287328319116073,0.14225972472847281,-0.13287328319116073,0.09363290067616996,0.3084503234206856
2,0.9804440950301486,0.7219365300636384,0.7325449329290228,-0.7219365300636384,0.7240237952440759,0.7546079883141599,0.9531326696470186,0.42032542050658883,0.4336275849249456,-0.42032542244180454,0.40716244299690446,0.4783312693818823
3,0.9827261751594822,0.7551968784762242,0.7612869303271017,-0.7551968792025197,0.7574475163080943,0.7842175563015074,0.9620871319399251,0.618269517050161,0.6256864589530152,-0.618269517050161,0.5071408779590161,0.8353015083771247
4,0.9856829668427753,0.8033837986902722,0.8076583313128505,-0.8033837986902722,0.8171727881985501,0.8041380278760103,0.9828697249486849,0.7887353022377213,0.795421480358421,-0.7887353022377213,0.786672550362426,0.8099679234740021
5,0.9853502395286684,0.8004230580903184,0.8034902817829173,-0.8004230580903184,0.8042558180327148,0.8110308659744883,0.9727505778337454,0.7170154761958432,0.7204090488421453,-0.7170154761958432,0.6035733308110919,0.900547541581191
6,0.9854635515414438,0.8056880359626417,0.8078627782948709,-0.8056880352363462,0.8067630423364555,0.8192149070972935,0.9489825360186688,0.5723253914288112,0.5736113182910076,-0.5723253914288112,0.42210666932068863,0.9215889983362966
7,0.9860493428914359,0.8161180781504664,0.8181084637037629,-0.8161180781504664,0.8085131156163715,0.8322330794132986,0.9784384671743814,0.7392752627273659,0.7415039756081321,-0.7392752627273659,0.7211048479204054,0.7713689409293137
8,0.9871123758977647,0.8259909596509027,0.8277546538752719,-0.8259909596509027,0.8325851653573185,0.829773872776016,0.9822094394015027,0.783250038499956,0.7861357741541677,-0.783250038499956,0.7783526213138134,0.8043410197480932
9,0.9864290706226246,0.8161398648344144,0.8177213084881718,-0.8161398641081189,0.8100307427413284,0.8416674693941973,0.986579925982983,0.8406890119825091,0.8423928897102158,-0.8406890158529405,0.8763926733623851,0.8127693479711359
